SKU,Name,Brand,Category,Series,Poles,RatedCurrent_A,Capacity_kVAr,BreakingCapacity_kA,LeakageCurrent_mA,Width_mm,Height_mm,Depth_mm,Pitch_mm,Price_VND
A2B 3P 200A,Formula DSA MCCB A2B 3P 200A 18kA — 1SDA066551R1,ABB,MCCB,Formula A2B,3,200,,18,,105,165,103,35,5530800
A2B 4P 200A,Formula DSA MCCB A2B 4P 200A 18kA — 1SDA066557R1,ABB,MCCB,Formula A2B,4,200,,18,,140,165,103,35,7466800
A2B 3P 225A,Formula DSA MCCB A2B 3P 225A 18kA — 1SDA066552R1,ABB,MCCB,Formula A2B,3,225,,18,,105,165,103,35,5530800
A2B 4P 225A,Formula DSA MCCB A2B 4P 225A 18kA — 1SDA066558R1,ABB,MCCB,Formula A2B,4,225,,18,,140,165,103,35,7466800
A2B 3P 250A,Formula DSA MCCB A2B 3P 250A 18kA — 1SDA066553R1,ABB,MCCB,Formula A2B,3,250,,18,,105,165,103,35,5530800
A2B 4P 250A,Formula DSA MCCB A2B 4P 250A 18kA — 1SDA066559R1,ABB,MCCB,Formula A2B,4,250,,18,,140,165,103,35,7466800
A1C 3P 16A,Formula DSA MCCB A1C 3P 16A 25kA — 1SDA068748R1,ABB,MCCB,Formula A1C,3,16,,25,,90,130,70,30,0
A1C 4P 16A,Formula DSA MCCB A1C 4P 16A 25kA — 1SDA068752R1,ABB,MCCB,Formula A1C,4,16,,25,,120,130,70,30,0
A1C 3P 20A,Formula DSA MCCB A1C 3P 20A 25kA — 1SDA066710R1,ABB,MCCB,Formula A1C,3,20,,25,,90,130,70,30,2118600
A1C 4P 20A,Formula DSA MCCB A1C 4P 20A 25kA — 1SDA066746R1,ABB,MCCB,Formula A1C,4,20,,25,,120,130,70,30,2860000
A1C 3P 25A,Formula DSA MCCB A1C 3P 25A 25kA — 1SDA066711R1,ABB,MCCB,Formula A1C,3,25,,25,,90,130,70,30,2118600
A1C 4P 25A,Formula DSA MCCB A1C 4P 25A 25kA — 1SDA066747R1,ABB,MCCB,Formula A1C,4,25,,25,,120,130,70,30,2860000
A1C 3P 32A,Formula DSA MCCB A1C 3P 32A 25kA — 1SDA068759R1,ABB,MCCB,Formula A1C,3,32,,25,,90,130,70,30,2118600
A1C 4P 32A,Formula DSA MCCB A1C 4P 32A 25kA — 1SDA068763R1,ABB,MCCB,Formula A1C,4,32,,25,,120,130,70,30,2860000
A1C 3P 40A,Formula DSA MCCB A1C 3P 40A 25kA — 1SDA066713R1,ABB,MCCB,Formula A1C,3,40,,25,,90,130,70,30,2118600
A1C 4P 40A,Formula DSA MCCB A1C 4P 40A 25kA — 1SDA066749R1,ABB,MCCB,Formula A1C,4,40,,25,,120,130,70,30,2860000
A1C 3P 50A,Formula DSA MCCB A1C 3P 50A 25kA — 1SDA066714R1,ABB,MCCB,Formula A1C,3,50,,25,,90,130,70,30,2118600
A1C 4P 50A,Formula DSA MCCB A1C 4P 50A 25kA — 1SDA066750R1,ABB,MCCB,Formula A1C,4,50,,25,,120,130,70,30,2860000
A1C 3P 63A,Formula DSA MCCB A1C 3P 63A 25kA — 1SDA068770R1,ABB,MCCB,Formula A1C,3,63,,25,,90,130,70,30,2367200
A1C 4P 63A,Formula DSA MCCB A1C 4P 63A 25kA — 1SDA068774R1,ABB,MCCB,Formula A1C,4,63,,25,,120,130,70,30,3195500
A1C 3P 80A,Formula DSA MCCB A1C 3P 80A 25kA — 1SDA066717R1,ABB,MCCB,Formula A1C,3,80,,25,,90,130,70,30,2367200
A1C 4P 80A,Formula DSA MCCB A1C 4P 80A 25kA — 1SDA066753R1,ABB,MCCB,Formula A1C,4,80,,25,,120,130,70,30,3195500
A1C 3P 100A,Formula DSA MCCB A1C 3P 100A 25kA — 1SDA066719R1,ABB,MCCB,Formula A1C,3,100,,25,,90,130,70,30,2491500
A1C 4P 100A,Formula DSA MCCB A1C 4P 100A 25kA — 1SDA066755R1,ABB,MCCB,Formula A1C,4,100,,25,,120,130,70,30,3363800
A1C 3P 125A,Formula DSA MCCB A1C 3P 125A 25kA — 1SDA066720R1,ABB,MCCB,Formula A1C,3,125,,25,,90,130,70,30,2990900
A1C 4P 125A,Formula DSA MCCB A1C 4P 125A 25kA — 1SDA066756R1,ABB,MCCB,Formula A1C,4,125,,25,,120,130,70,30,4035900
A2C 3P 150A,Formula DSA MCCB A2C 3P 150A 25kA — 1SDA068780R1,ABB,MCCB,Formula A2C,3,150,,25,,105,165,103,35,5305300
A2C 4P 150A,Formula DSA MCCB A2C 4P 150A 25kA — 1SDA068783R1,ABB,MCCB,Formula A2C,4,150,,25,,140,165,103,35,7161000
